Time [s],Channel 0
0.752594792,1
0.752595784,0
0.752596784,1
0.752598768,0
0.752599776,1
0.752600760,0
0.752602760,1
0.752604744,0
0.752605752,1
0.752609728,0
0.752610728,1
0.752611720,0
0.752612720,1
0.752614704,0
0.752615704,1
0.752619680,0
0.752620688,1
0.752622784,0
0.752624800,1
0.753738424,0
0.753740424,1
0.753742408,0
0.753746392,1
0.753752360,0
0.753762328,1
0.753764304,0
0.753768296,1
0.753770280,0
0.753772280,1
0.753774256,0
0.753775264,1
0.753776248,0
0.753781232,1
0.753782224,0
0.753783232,1
0.753784216,0
0.753789208,1
0.753790192,0
0.753791200,1
0.753792184,0
0.753795184,1
0.753797168,0
0.753798168,1
0.753799160,0
0.753802152,1
0.753804128,0
0.753806128,1
0.753808112,0
0.753809120,1
0.753810104,0
0.753812104,1
0.753813088,0
0.753814096,1
0.753816080,0
0.753817080,1
0.753820064,0
0.753822064,1
0.753824048,0
0.753828040,1
0.753829032,0
0.753830032,1
0.753832016,0
0.753833024,1
0.753835000,0
0.753838000,1
0.753839984,0
0.753840984,1
0.753842968,0
0.753844968,1
0.753845960,0
0.753846968,1
0.753847952,0
0.753848960,1
0.753849944,0
0.753851944,1
0.753853928,0
0.753854936,1
0.753855920,0
0.753859912,1
0.753861896,0
0.753862904,1
0.753864888,0
0.753869872,1
0.753872872,0
0.753874888,1
0.761845416,0
0.761847432,1
0.761849408,0
0.761853432,1
0.761857408,0
0.761859432,1
0.761861408,0
0.761871432,1
0.761873416,0
0.761877432,1
0.761879416,0
0.761889432,1
0.761895416,0
0.761905440,1
0.761907416,0
0.761913440,1
0.761915416,0
0.761925440,1
0.761927416,0
0.761933440,1
0.761935416,0
0.761937440,1
0.761947416,0
0.761949440,1
0.761959416,0
0.761961440,1
0.761971416,0
0.761973440,1
0.761983424,0
0.761985440,1
0.761995424,0
0.761997440,1
0.762007424,0
0.762009440,1
0.762019424,0
0.762021440,1
0.762031424,0
0.762033448,1
0.762035424,0
0.762037448,1
0.762039424,0
0.762049448,1
0.762051424,0
0.762057448,1
0.762059424,0
0.762063448,1
0.762069504,0
0.762071504,1
0.762119320,0
0.762121320,1
0.762123304,0
0.762127296,1
0.762133256,0
0.762143224,1
0.762145208,0
0.762149200,1
0.762151184,0
0.762153176,1
0.762155160,0
0.762156168,1
0.762157152,0
0.762162144,1
0.762164128,0
0.762168112,1
0.762169104,0
0.762170112,1
0.762174088,0
0.762176088,1
0.762177072,0
0.762179072,1
0.762180064,0
0.762185048,1
0.762186040,0
0.762187040,1
0.762190024,0
0.762191024,1
0.762192016,0
0.762195008,1
0.762196992,0
0.762198000,1
0.762198984,0
0.762202984,1
0.762204960,0
0.762206960,1
0.762207952,0
0.762208960,1
0.762209944,0
0.762210944,1
0.762213928,0
0.762215928,1
0.762216920,0
0.762218920,1
0.762220904,0
0.762222904,1
0.762223896,0
0.762224896,1
0.762225888,0
0.762227888,1
0.762228872,0
0.762229872,1
0.762230864,0
0.762231864,1
0.762233848,0
0.762235840,1
0.762237832,0
0.762238832,1
0.762240816,0
0.762242816,1
0.762243800,0
0.762244808,1
0.762245792,0
0.762249792,1
0.762250776,0
0.762252776,1
0.762253840,0
0.762255864,1
0.767266448,0
0.767268448,1
0.767270432,0
0.767274424,1
0.767280400,0
0.767290368,1
0.767292352,0
0.767296344,1
0.767298328,0
0.767300328,1
0.767302312,0
0.767303312,1
0.767304304,0
0.767309296,1
0.767311280,0
0.767314280,1
0.767315264,0
0.767318264,1
0.767319248,0
0.767324232,1
0.767325224,0
0.767326232,1
0.767328216,0
0.767329216,1
0.767330200,0
0.767332200,1
0.767333192,0
0.767334192,1
0.767337176,0
0.767339176,1
0.767341160,0
0.767343168,1
0.767344152,0
0.767349144,1
0.767350128,0
0.767351136,1
0.767353120,0
0.767358112,1
0.767359096,0
0.767360104,1
0.767362088,0
0.767364088,1
0.767367064,0
0.767368072,1
0.767370056,0
0.767372056,1
0.767373040,0
0.767374048,1
0.767375040,0
0.767376040,1
0.767380016,0
0.767383016,1
0.767385000,0
0.767386000,1
0.767386992,0
0.767388992,1
0.767389984,0
0.767391984,1
0.767392968,0
0.767394968,1
0.767395960,0
0.767399952,1
0.767400936,0
0.767401944,1
0.767402992,0
0.767405008,1
0.772445832,0
0.772447824,1
0.772449808,0
0.772453800,1
0.772459760,0
0.772469720,1
0.772471704,0
0.772475696,1
0.772477680,0
0.772479680,1
0.772481664,0
0.772482664,1
0.772483648,0
0.772488640,1
0.772490616,0
0.772493616,1
0.772495600,0
0.772496608,1
0.772499584,0
0.772500584,1
0.772501576,0
0.772504568,1
0.772505560,0
0.772506560,1
0.772511536,0
0.772513536,1
0.772515528,0
0.772519512,1
0.772520504,0
0.772521504,1
0.772522496,0
0.772523496,1
0.772528472,0
0.772530472,1
0.772531464,0
0.772535456,1
0.772537440,0
0.772538440,1
0.772539432,0
0.772544416,1
0.772546400,0
0.772547408,1
0.772548392,0
0.772550392,1
0.772553376,0
0.772554376,1
0.772559352,0
0.772561352,1
0.772563336,0
0.772564344,1
0.772565328,0
0.772566336,1
0.772569312,0
0.772571320,1
0.772572304,0
0.772574304,1
0.772575288,0
0.772579280,1
0.772580272,0
0.772581272,1
0.772582352,0
0.772584368,1
0.777526792,0
0.777528792,1
0.777530776,0
0.777534768,1
0.777540728,0
0.777550696,1
0.777552680,0
0.777556672,1
0.777558656,0
0.777560656,1
0.777562632,0
0.777563640,1
0.777564624,0
0.777569616,1
0.777571600,0
0.777573600,1
0.777574592,0
0.777577592,1
0.777578576,0
0.777579584,1
0.777584552,0
0.777586552,1
0.777588536,0
0.777589544,1
0.777593512,0
0.777594520,1
0.777596504,0
0.777598504,1
0.777600488,0
0.777602488,1
0.777603480,0
0.777604488,1
0.777609456,0
0.777611456,1
0.777612448,0
0.777616432,1
0.777618416,0
0.777619424,1
0.777620408,0
0.777625400,1
0.777627384,0
0.777628384,1
0.777629376,0
0.777631376,1
0.777634352,0
0.777635360,1
0.777640328,0
0.777643328,1
0.777645312,0
0.777650312,1
0.777651296,0
0.777653296,1
0.777655280,0
0.777660272,1
0.777661264,0
0.777662264,1
0.777663296,0
0.777665312,1
0.782607784,0
0.782609784,1
0.782611768,0
0.782615768,1
0.782621728,0
0.782631688,1
0.782633672,0
0.782637664,1
0.782639648,0
0.782641648,1
0.782643632,0
0.782646624,1
0.782647616,0
0.782650608,1
0.782651600,0
0.782653600,1
0.782654584,0
0.782655584,1
0.782656576,0
0.782657576,1
0.782659560,0
0.782664544,1
0.782665528,0
0.782667528,1
0.782669512,0
0.782670512,1
0.782671504,0
0.782672504,1
0.782673496,0
0.782674496,1
0.782675488,0
0.782678480,1
0.782679472,0
0.782680472,1
0.782682456,0
0.782684456,1
0.782687432,0
0.782688440,1
0.782689424,0
0.782691424,1
0.782692440,0
0.782694456,1
0.783826176,0
0.783828176,1
0.783830160,0
0.783834152,1
0.783840112,0
0.783850080,1
0.783852064,0
0.783856056,1
0.783858040,0
0.783860032,1
0.783862016,0
0.783863024,1
0.783864008,0
0.783869000,1
0.783869984,0
0.783870992,1
0.783871976,0
0.783876968,1
0.783877952,0
0.783878960,1
0.783879944,0
0.783882936,1
0.783884920,0
0.783885928,1
0.783886912,0
0.783891904,1
0.783893888,0
0.783894896,1
0.783896880,0
0.783897880,1
0.783900856,0
0.783902856,1
0.783904840,0
0.783906840,1
0.783907832,0
0.783911824,1
0.783912808,0
0.783917800,1
0.783918784,0
0.783919792,1
0.783921776,0
0.783922784,1
0.783923768,0
0.783925768,1
0.783926760,0
0.783927760,1
0.783930744,0
0.783931744,1
0.783932736,0
0.783934736,1
0.783939704,0
0.783940712,1
0.783941696,0
0.783944696,1
0.783945680,0
0.783946688,1
0.783947672,0
0.783949672,1
0.783952648,0
0.783954648,1
0.783959624,0
0.783961624,1
0.783962728,0
0.783964744,1
0.791847264,0
0.791849280,1
0.791851264,0
0.791855280,1
0.791859264,0
0.791861280,1
0.791863264,0
0.791873280,1
0.791875264,0
0.791879280,1
0.791881264,0
0.791891288,1
0.791897264,0
0.791907288,1
0.791909264,0
0.791915288,1
0.791917264,0
0.791927288,1
0.791929264,0
0.791935288,1
0.791937264,0
0.791939288,1
0.791949264,0
0.791951288,1
0.791961272,0
0.791963288,1
0.791973272,0
0.791975288,1
0.791985272,0
0.791987288,1
0.791997272,0
0.791999288,1
0.792009272,0
0.792011296,1
0.792021272,0
0.792023296,1
0.792033272,0
0.792035296,1
0.792037272,0
0.792039296,1
0.792041272,0
0.792051296,1
0.792053272,0
0.792059296,1
0.792061272,0
